iso_3166_1_alpha_3,iso_3166_1_alpha_2,new_confirmed,cumulative_confirmed,date,alpha_3_code,ptdate,stringency_index,country_region_code,mobilitydate,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
ARE,AE,1,13,2020-02-15,ARE,2020-02-15,2.78,AE,2020-02-15,0.625,4.125,5.1428571428571423,2.833333333333333,2.8750000000000004,0.625
ARE,AE,0,13,2020-02-16,ARE,2020-02-16,2.78,AE,2020-02-16,-0.25,3,2.5714285714285716,3.166666666666667,2.375,1.125
ARE,AE,0,13,2020-02-17,ARE,2020-02-17,2.78,AE,2020-02-17,-2,0.49999999999999994,2.2857142857142856,3,2.25,1
ARE,AE,0,13,2020-02-18,ARE,2020-02-18,2.78,AE,2020-02-18,-2.125,1,3.1428571428571423,1.8333333333333335,2.5,1
ARE,AE,0,13,2020-02-19,ARE,2020-02-19,2.78,AE,2020-02-19,-2.25,-0.62500000000000011,3.8571428571428572,-0.5,2.25,0.875
ARE,AE,2,15,2020-02-20,ARE,2020-02-20,2.78,AE,2020-02-20,-2.6250000000000004,-0.12500000000000006,5.7142857142857144,0.33333333333333337,1.3750000000000002,1.125
ARE,AE,2,17,2020-02-21,ARE,2020-02-21,2.78,AE,2020-02-21,-1.7499999999999998,0.875,6.1428571428571423,2.833333333333333,0,1.2857142857142856
ARE,AE,0,17,2020-02-22,ARE,2020-02-22,2.78,AE,2020-02-22,-2,1.5,5.7142857142857144,-0.49999999999999978,4,1.125
ARE,AE,0,17,2020-02-23,ARE,2020-02-23,2.78,AE,2020-02-23,-1.75,0.74999999999999978,4.5714285714285712,1.3333333333333333,3.625,1.125
ARE,AE,0,17,2020-02-24,ARE,2020-02-24,8.33,AE,2020-02-24,-3.5000000000000004,-0.25000000000000006,3.1428571428571428,0.33333333333333331,3.75,1.125
ARE,AE,0,17,2020-02-25,ARE,2020-02-25,8.33,AE,2020-02-25,-3.125,0.875,3.8571428571428572,-1.6666666666666667,3.2499999999999996,1.125
